accept_id,module,playtime_target,required_content,acceptance_criteria,evidence,owner,priority,note
vsa_001,开场洞天,0到10分钟,破败洞天清理和灵纹亮起,玩家30秒内可操作且5分钟内看到环境变化,实机录屏,level,P0,建立修复目标
vsa_002,作物成精,10到35分钟,萝卜苗异常和萝卜精入队,30分钟内必定触发成精演出,埋点和录屏,design,P0,最大卖点
vsa_003,精怪协助,35到60分钟,萝卜精3x3浇水,玩家能看见精怪实际工作并节省体力,实机录屏,animation,P0,自动化可见
vsa_004,加工订单,60到90分钟,萝卜干制作和第一订单,订单收益高于裸卖且任务推进清楚,数值日志,system,P0,形成经济链
vsa_005,旧铺试营业,90到120分钟,上架顾客购买和想法泡泡,玩家能说明第一笔成交原因,访谈记录,ui_design,P0,经营可读
vsa_006,精怪互动,120到150分钟,摸头送礼羁绊反馈,玩家能记住精怪名字或行为,访谈记录,narrative,P1,情感绑定
vsa_007,洞天修复,150到180分钟,灵渠修复和地块扩张,玩家看到地图永久变化并获得明日目标,实机录屏,level,P0,长线动力
vsa_008,日终总结,每日结束,收入成长解锁和明日建议,玩家结束时知道下一步做什么,UI截图,ui_design,P0,防止迷路
vsa_009,性能稳定,全程,前3小时无阻断问题,无崩溃无软锁目标帧稳定,QA报告,qa,P0,Demo前置
vsa_010,商店素材,切片完成后,核心循环截图和短视频,至少6张截图能表达卖点,素材清单,marketing,P1,愿望单转化
