npc_bark_id,speaker_group,context_type,condition_group,text_key,weight,note
npc_bark_villager_morning_01,villager,ambient,always_true,npc_bark_villager_morning_01,10,morning greeting
npc_bark_villager_morning_02,villager,ambient,always_true,npc_bark_villager_morning_02,8,field work gossip
npc_bark_villager_shop_01,villager,shop_enter,always_true,npc_bark_villager_shop_01,10,cheap produce ask
npc_bark_villager_shop_02,villager,shop_buy,always_true,npc_bark_villager_shop_02,8,basic purchase satisfaction
npc_bark_rogue_shop_01,rogue_cultivator,shop_enter,always_true,npc_bark_rogue_shop_01,10,medicine browsing
npc_bark_rogue_shop_02,rogue_cultivator,shop_buy,always_true,npc_bark_rogue_shop_02,8,practical praise
npc_bark_healer_shop_01,healer,shop_enter,always_true,npc_bark_healer_shop_01,10,quality herb check
npc_bark_healer_shop_02,healer,shop_buy,always_true,npc_bark_healer_shop_02,8,clean goods approval
npc_bark_crafter_shop_01,crafter,shop_enter,always_true,npc_bark_crafter_shop_01,10,material check
npc_bark_crafter_shop_02,crafter,shop_buy,always_true,npc_bark_crafter_shop_02,8,workshop praise
npc_bark_trader_shop_01,trader,shop_enter,always_true,npc_bark_trader_shop_01,10,margin evaluation
npc_bark_trader_shop_02,trader,shop_buy,always_true,npc_bark_trader_shop_02,8,bulk purchase
npc_bark_guest_shop_01,guest,shop_enter,always_true,npc_bark_guest_shop_01,10,premium interest
npc_bark_guest_shop_02,guest,shop_buy,always_true,npc_bark_guest_shop_02,8,gift approval
npc_bark_faction_shop_01,faction,shop_enter,always_true,npc_bark_faction_shop_01,10,high standard arrival
npc_bark_faction_shop_02,faction,shop_buy,always_true,npc_bark_faction_shop_02,8,order quality pass
npc_bark_drought_01,villager,world_state,chapter_3_complete,npc_bark_drought_01,12,drought anxiety
npc_bark_drought_02,healer,world_state,chapter_3_complete,npc_bark_drought_02,10,relief concern
npc_bark_festival_01,villager,festival,always_true,npc_bark_festival_01,10,festival joy
npc_bark_festival_02,guest,festival,always_true,npc_bark_festival_02,8,festival atmosphere
npc_bark_waterway_shop_01,waterway_broker,shop_enter,qinghe_lotus_basin_followup_order_done,npc_bark_waterway_shop_01,10,Lianze waterway buyer arrival
npc_bark_waterway_shop_02,waterway_broker,shop_buy,qinghe_lotus_basin_followup_order_done,npc_bark_waterway_shop_02,8,Lianze waterway buyer purchase
