entry_id,spirit_id,spirit_name,event_stage,trigger_condition,scene_summary,exclusive_action,gift_reward,related_system,owner,note
rsea_001,spirit_hualing,花铃精,first_meet,current_term==huazhao|flower_goods_display_days>=2,风铃自响花瓣从货架下钻出,店门摇铃撒花,花铃香囊,shop,narrative,店铺揽客线
rsea_002,spirit_hualing,花铃精,evolution,flower_shop_score>=1200,花铃精学会按顾客标签招呼客人,按客群改变招呼动作,花铃迎客架,shop,animation,需要多套招客动作
rsea_012,spirit_hualing,花铃精,bond_final,hualing_silent_market_ready==true,花铃精办起一场“无声花市”把熟客与回头客重新请回门前,系花幡引熟客入席,无声花市幡,shop_season,narrative,春市回流与名铺收束线
rsea_003,spirit_leizhu,雷竹精,first_meet,storm_day==true|trade_supply_done>=1,断竹林雷声回响雷竹精跳出,竹竿点地测风,雷纹竹签,expedition,narrative,商路风险线
rsea_011,spirit_leizhu,雷竹精,evolution,protected_midrisk_trade>=1,雷竹精先护住货车再让队伍过雨线,敲货角校绳结,护货竹绳,trade_route,animation,中风险保货线
rsea_004,spirit_leizhu,雷竹精,bond_final,leizhu_bond>=10|hidden_thunder_route_clear==true,雷竹精带玩家走旧雷道,雷道引路,雷竹路标,trade_route,level,解锁隐藏商路
rsea_005,spirit_yuelian,月莲精,first_meet,night_water_crop_care>=3,无月水面出现发光莲花,水边递莲叶水珠,月露,mood,narrative,夜间情绪线
rsea_017,spirit_yuelian,月莲精,evolution,yuelian_rest_respite_ready==true,月莲精看见你在精怪疲劳时按下夜色不再派工,把莲叶铺成静养小席,凝露莲席,mood,system,留白静养线
rsea_006,spirit_yuelian,月莲精,bond_final,yuelian_bond>=10,共同观看无月之月并回忆水脉,静池共坐,月莲静池,cohab,narrative,情感回收
rsea_007,spirit_dengying,灯影精,first_meet,winter_night==true|old_warehouse_lit_lamp>=3,第四盏无火之灯投出小影子,躲入玩家影子,影灯芯,dungeon,narrative,秘境照明线
rsea_008,spirit_dengying,灯影精,evolution,hidden_light_puzzle_clear>=1,灯影精第一次敢离开灯座,拉长影子指路,灯影长明盏,dungeon,animation,需要影子指路特效
rsea_018,spirit_dengying,灯影精,bond_final,dengying_winter_lantern_ready==true,灯影精把冬至夜里断开的灯一盏盏接成了长路,点亮今夜隐藏灯路,灯影长明盏,shop_season,system,冬市留客与隐藏入口收束线
rsea_009,spirit_shuqi,书契精,first_meet,completed_order_count>=5,旧账本翻页指出少赚铜钱,账本盖章,账页书签,shop_summary,system,经营诊断线
rsea_013,spirit_shuqi,书契精,evolution,shuqi_stock_review_ready==true,书契精看着你照账页诊断重排货架并把评分抬稳了,夹朱砂账签标出缺货格,账房缺货签,shop_season,system,库存预警线
rsea_014,spirit_shuqi,书契精,bond_final,shuqi_legacy_ledger_ready==true,书契精整理洞天复兴账册并把这一年的买卖誊成回忆页,誊金边旧账成册,洞天旧账新编,shop_settlement,system,赛季结算收束线
rsea_010,spirit_fengmi,蜂蜜精,first_meet,flower_field_built==true|beehive_not_empty_days>=2,蜂蜜精从蜂巢探头称赞玩家,抱蜜罐走路,百花蜜滴,processing,narrative,甜品和生态线
rsea_015,spirit_fengmi,蜂蜜精,evolution,fengmi_dessert_chain_ready==true,蜂蜜精顺着甜香把不同花期的花蜜调成一锅更稳的回甜,挨锅沿试蜜定香,花蜜调匙,processing,system,甜品调和线
rsea_016,spirit_fengmi,蜂蜜精,bond_final,fengmi_honey_feast_ready==true,蜂蜜精为众精摆开一席百花茶会把整间店的甜香都养成会回头的气氛,摆蜜席请众精同席,百花蜜罐,shop_season,system,多精怪茶会收束线
