season_id,score_part,calc_formula,weight,display_name,ui_desc_key,rank_impact,note
season_shop_001,freshness_score,avg_freshness*100,0.25,新鲜度,ui_year2_shop_freshness,high,春市新芽榜重点看鲜货
season_shop_001,theme_score,theme_match_ratio*100,0.20,陈列主题,ui_year2_shop_theme,mid,主题一致性影响中等
season_shop_001,sales_score,monthly_sales/120,0.30,销售额,ui_year2_shop_sales,high,销售额为主权重
season_shop_001,customer_score,positive_feedback_rate*100,0.25,顾客评价,ui_year2_shop_feedback,high,口碑与反馈共同决定
season_shop_002,term_match_score,term_goods_ratio*100,0.28,节气匹配,ui_year2_shop_term,high,谷雨赛季节气匹配优先
season_shop_002,quality_score,high_quality_ratio*100,0.24,高品质占比,ui_year2_shop_quality,high,高品质药膳与茶饮重要
season_shop_002,sales_score,monthly_sales/135,0.24,销售额,ui_year2_shop_sales,mid,销售额中等权重
season_shop_002,guest_score,guest_purchase_rate*100,0.24,贵客成交,ui_year2_shop_guest,mid,贵客与医修偏好决定表现
season_shop_003,material_score,material_bundle_ratio*100,0.26,工坊成套度,ui_year2_shop_material,high,盛夏工坊榜强调材料搭配
season_shop_003,machine_score,machine_uptime*100,0.22,工坊运转,ui_year2_shop_machine,mid,生产连续性
season_shop_003,sales_score,monthly_sales/150,0.30,销售额,ui_year2_shop_sales,high,工坊产能转销售
season_shop_003,reputation_score,shop_reputation/5,0.22,名铺口碑,ui_year2_shop_reputation,mid,口碑稳定度
season_shop_004,gift_score,gift_theme_ratio*100,0.30,礼盒主题,ui_year2_shop_gift,high,礼盒陈列最关键
season_shop_004,premium_score,premium_item_ratio*100,0.26,高端商品占比,ui_year2_shop_premium,high,高端货比例
season_shop_004,guest_score,guest_purchase_rate*100,0.22,贵客成交,ui_year2_shop_guest,mid,贵客和门派反应
season_shop_004,story_score,story_item_ratio*100,0.22,文化氛围,ui_year2_shop_story,mid,陆三笑线加成
season_shop_005,festival_score,festival_theme_ratio*100,0.26,节庆完成度,ui_year2_shop_festival,high,冬至赛季的核心
season_shop_005,ritual_score,ritual_item_ratio*100,0.22,仪式感,ui_year2_shop_ritual,mid,礼仪和体面度
season_shop_005,reputation_score,shop_reputation/4,0.26,全年口碑,ui_year2_shop_reputation,high,全年经营稳定性的总结
season_shop_005,town_score,town_rebuild_progress*100,0.26,镇子共建,ui_year2_shop_town,high,体现经营反哺小镇
