trial_id,trial_name_key,term_id,unlock_condition_group,prep_days,challenge_days,recommended_spirit_lines,required_loop_tags,score_formula,reward_pool_id,rank_reward_tags,note
trial_lichun_seed,trial_name_lichun_seed,term_lichun,quest_main_0403_complete,1,3,spirit_line_luobo|spirit_line_shui|spirit_line_bucao,spring_seed|earth_crop|basic_food,quality_score*0.45+spirit_score*0.3+order_score*0.25,pool_reward_trial_guyu,decor|bond_exp|spring_seed,lichun seed trial
trial_yushui_channels,trial_name_yushui_channels,term_yushui,quest_main_0403_complete,1,3,spirit_line_shui|spirit_line_yaoyuan|spirit_line_yuelian,water_crop|growth_small|water_goods,quality_score*0.35+spirit_score*0.3+mark_score*0.35,pool_reward_trial_guyu,decor|bond_exp|water_memory,yushui channels trial
trial_jingzhe_patrol,trial_name_jingzhe_patrol,term_jingzhe,quest_main_0403_complete,1,3,spirit_line_suan|spirit_line_lajiao|spirit_line_dengying,pest_sensitive|defense_goods|combat_spirit_up,risk_score*0.45+patrol_score*0.35+spirit_score*0.2,pool_reward_trial_dashu,decor|bond_exp|patrol_tool,jingzhe patrol trial
trial_chunfen_balance,trial_name_chunfen_balance,term_chunfen,quest_main_0403_complete,1,3,spirit_line_luobo|spirit_line_bucao|spirit_line_hualing,balanced_growth|basic_goods|social_spirit_small,quality_score*0.35+shop_score*0.35+spirit_score*0.3,pool_reward_trial_bailu,decor|bond_exp|balance_gift,chunfen balance trial
trial_qingming_ritual,trial_name_qingming_ritual,term_qingming,quest_main_0403_complete,1,3,spirit_line_shuqi|spirit_line_hualing|spirit_line_yuelian,wood_crop|ritual_goods|memory_spirit_small,display_score*0.35+mark_score*0.4+spirit_score*0.25,pool_reward_trial_bailu,decor|bond_exp|ritual_memory,qingming ritual trial
trial_guyu_herb,trial_name_guyu_herb,term_guyu,quest_main_0403_complete,1,3,spirit_line_shui|spirit_line_yaoyuan|spirit_line_luobo,herb|water|medicine,quality_score*0.4+order_score*0.4+spirit_score*0.2,pool_reward_trial_guyu,decor|bond_exp|medicine_recipe,guyu herb trial
trial_lixia_workshop,trial_name_lixia_workshop,term_lixia,quest_main_0403_complete,1,3,spirit_line_lajiao|spirit_line_caikuang|spirit_line_bucao,fire_crop|fire_goods|workshop_spirit_up,output_score*0.4+risk_score*0.25+quality_score*0.35,pool_reward_trial_dashu,decor|bond_exp|workshop_heat,lixia workshop trial
trial_xiaoman_granary,trial_name_xiaoman_granary,term_xiaoman,quest_main_0403_complete,1,3,spirit_line_luobo|spirit_line_shui|spirit_line_bucao,yield_up|grain_goods|farm_spirit_small,quality_score*0.45+output_score*0.3+order_score*0.25,pool_reward_trial_guyu,decor|bond_exp|granary_store,xiaoman granary trial
trial_mangzhong_harvest,trial_name_mangzhong_harvest,term_mangzhong,quest_main_0403_complete,1,3,spirit_line_luobo|spirit_line_suan|spirit_line_shui,seeding_efficiency|grain_goods|farm_spirit_up,quality_score*0.35+output_score*0.35+spirit_score*0.3,pool_reward_trial_guyu,decor|bond_exp|harvest_mark,mangzhong harvest trial
trial_xiazhi_coolshop,trial_name_xiazhi_coolshop,term_xiazhi,quest_main_0403_complete,1,3,spirit_line_shui|spirit_line_hualing|spirit_line_meishi,summer_growth|cool_food|water_spirit_small,customer_score*0.4+shop_score*0.35+festival_score*0.25,pool_reward_trial_dongzhi,decor|bond_exp|coolshop_brand,xiazhi coolshop trial
