beat_id,map_id,beat_index,camera_type,actor_focus,action_key,emotion_key,audio_key,subtitle_key,gameplay_hook,duration_sec,skip_allowed,note
beat_side_0101_01,side_map_0101_01,1,wide,npc_xubo,look_at_old_bridge,nostalgia,audio_old_bridge_wind,subtitle_side_0101_beat_01,lock_player_input,4,true,old bridge first view
beat_side_0101_02,side_map_0101_01,2,close,npc_xubo,touch_bridge_tablet,sad_smile,audio_stone_touch,subtitle_side_0101_beat_02,show_quest_item_hint,4,true,xubo bridge memory
beat_side_0103_01,side_map_0103_01,1,mid,npc_baizhi,sort_empty_medicine_box,anxious,audio_clinic_bell_low,subtitle_side_0103_beat_01,highlight_herb_request,4,true,clinic shortage setup
beat_side_0103_02,side_map_0103_02,2,close,npc_baizhi,hold_finished_medicine,relieved,audio_herb_bell,subtitle_side_0103_beat_02,grant_clinic_discount,4,true,clinic reward beat
beat_side_0201_01,side_map_0201_01,1,shop,npc_hu_sihai,inspect_price_tag,calculating,audio_coin_soft,subtitle_side_0201_beat_01,open_pricing_tutorial,5,true,pricing tutorial
beat_side_0201_02,side_map_0201_02,2,close,npc_hu_sihai,laugh_and_point_shelf,playful,audio_hu_laugh,subtitle_side_0201_beat_02,unlock_shop_feedback_panel,4,true,pricing feedback
beat_side_0205_01,side_map_0205_01,1,wide,area_old_canal,show_dry_pond,quiet,audio_dry_wind,subtitle_side_0205_beat_01,mark_pond_build_site,4,true,pond problem
beat_side_0205_02,side_map_0205_02,2,wide,npc_qinghe,release_first_fish,gentle,audio_water_small,subtitle_side_0205_beat_02,unlock_fishpond_lv1,5,true,fish release
beat_side_0304_01,side_map_0304_01,1,mid,npc_atan,measure_spirit_room,focused,audio_wood_measure,subtitle_side_0304_beat_01,preview_spirit_room_layout,5,true,spirit room plan
beat_side_0304_02,side_map_0304_02,2,group,player_and_spirits,spirits_enter_room,happy,audio_spirit_room_chime,subtitle_side_0304_beat_02,apply_spirit_dorm_synergy,5,true,spirit room completion
beat_side_0306_01,side_map_0306_01,1,night,npc_shen_gudeng,draw_patrol_line,serious,audio_blade_unsheathe,subtitle_side_0306_beat_01,spawn_night_raid_preview,4,true,night raid prep
beat_side_0306_02,side_map_0306_02,2,action,spirit_suan_02,guard_field_edge,proud,audio_spirit_slash,subtitle_side_0306_beat_02,apply_night_guard_small,5,true,suan patrol payoff
beat_side_0402_01,side_map_0402_01,1,mid,npc_hu_sihai,pack_last_route_goods,tense,audio_supply_pack,subtitle_side_0402_beat_01,register_final_route_order,5,true,last route prep
beat_side_0402_02,side_map_0402_02,2,wide,npc_hu_sihai,return_with_dusty_cart,exhausted_relief,audio_cart_return,subtitle_side_0402_beat_02,grant_route_rare_material,6,true,last route return
beat_side_0405_01,side_map_0405_01,1,wide,spirit_shui_03,raise_waterline,determined,audio_water_rise,subtitle_side_0405_beat_01,preview_final_waterline,5,true,final waterline start
beat_side_0405_02,side_map_0405_02,2,hero,player_and_spirit_shui,connect_array_waterline,hopeful,audio_final_water_lock,subtitle_side_0405_beat_02,apply_final_waterline_up,6,true,final waterline payoff
