cutscene_id,shot_index,shot_duration_sec,camera_type,focus_target,action_key,audio_key,subtitle_key,skip_group,gameplay_hook,note
cutscene_boss_mingmu_intro,1,5,wide,area_final_nest,show_dark_nest,audio_boss_mingmu_ambience,,skip_boss_intro,lock_player_input,终巢压迫全景
cutscene_boss_mingmu_intro,2,4,close,item_dark_egg_cluster,pulse_egg_cluster,audio_heartbeat_low,,skip_boss_intro,spawn_prebattle_fx,虫卵与灵气抽离
cutscene_boss_mingmu_intro,3,5,mid,boss_shiling_mingmu,reveal_boss_body,audio_boss_mingmu_reveal,dialogue_boss_hint_mingmu,skip_boss_intro,create_boss_boundary,Boss 本体浮现
cutscene_boss_mingmu_intro,4,4,over_shoulder,player,show_no_return_path,audio_music_drop,,skip_boss_intro,set_retry_checkpoint,回望无退路
cutscene_boss_mingmu_intro,5,3,front,boss_shiling_mingmu,start_battle_pose,audio_boss_mingmu_battle_start,,skip_boss_intro,start_boss_battle,进入战斗
cutscene_final_array_build,1,4,wide,build_solar_array_final,show_array_overview,audio_final_array_layers,,skip_final_array,disable_world_tick,终阵总览亮起
cutscene_final_array_build,2,3,close,npc_zhang_tieshan,show_metal_core,audio_metal_resonance,dialogue_main_0403_002,skip_final_array,apply_support_bundle_zhang,张铁山阵骨
cutscene_final_array_build,3,3,close,npc_qinghe,show_water_channel,audio_water_rise,dialogue_main_0403_007,skip_final_array,apply_support_bundle_qinghe,青禾引水
cutscene_final_array_build,4,3,close,npc_baizhi,show_heal_matrix,audio_herb_bell,dialogue_main_0403_003,skip_final_array,apply_support_bundle_baizhi,白芷药阵
cutscene_final_array_build,5,5,hero,player,raise_four_nodes,audio_array_incantation,dialogue_main_0403_004,skip_final_array,apply_full_support_resonance,玩家立阵心
cutscene_final_array_build,6,4,wide,area_town_and_farm,restore_world_light,audio_final_hope_theme,,skip_final_array,set_world_state_recovery,世界状态回暖
