migration_id,from_version,to_version,affected_module,operation,default_fill,validation_check,rollback_policy,note
migration_001_core_init,0,1,all,create_initial_schema,base_defaults,load_new_game,not_needed,initial schema
migration_002_spirit_longterm,1,2,spirits,add_bond_and_mastery_maps,empty_maps,owned_spirits_keep_valid,backup_before_write,adds post story spirit progression
migration_003_year2_goals,1,2,statistics,add_freeplay_goal_progress,empty_map,goal_ids_resolve,backup_before_write,adds freeplay goals
migration_004_ecology_expedition,1,2,buildings|exploration,add_ecology_and_expedition_state,empty_state,no_active_invalid_expedition,backup_before_write,adds ecology and expedition state
migration_005_shop_season,1,2,shop,add_year2_shop_season_state,empty_state,season_id_resolve,backup_before_write,adds year2 shop ranking
migration_006_audio_settings,0,1,settings,add_audio_bus_volume_map,default_audio_bus,volume_range_0_1,use_global_default,audio settings compatibility
migration_007_solar_trial_records,2,3,statistics,add_solar_trial_best_records,derive_from_completed_trials,solar_trial_records_resolve,backup_before_write,adds replayable solar trial best-rank records
migration_008_rare_spirit_progress,3,4,spirits|events,add_rare_spirit_progress_state,empty_state,rare_spirit_progress_resolve,backup_before_write,adds earned rare spirit trigger counters
migration_009_cohab_runtime,3,4,relationships,add_cohab_runtime_state,empty_state,cohab_runtime_resolve,backup_before_write,adds post story cohab pending/history persistence
migration_010_trade_progress,4,5,trade,add_trade_progress_state,empty_state,trade_progress_resolve,backup_before_write,adds route mastery faction favor and story hint persistence
