template_id,template_name,template_type,trigger_type,condition_pattern,execute_pattern,recommended_use,required_tables,content_budget,note
evt_tpl_main_unlock_step,main_unlock_step,main_story,on_quest_complete,quest_state({quest_id})==complete,exec_start_quest({next_quest_id})|exec_unlock_ui({ui_id}),主线章节解锁,"quest_base|quest_step|event_trigger|dialogue_group",1 cutscene + 1 guide,用于主线任务完成后开启下一个系统或章节
evt_tpl_side_favor_callback,side_favor_callback,side_story,on_talk,npc_favor_level({npc_id})>={favor_level},exec_start_side_quest({quest_id})|exec_bind_dialogue({dialogue_group_id}),人物好感支线,"side_quest_base|side_quest_step|side_quest_dialogue_map|dialogue_group",1 short scene,用于 2 心/4 心/5 心的支线回流
evt_tpl_term_disaster_warning,term_disaster_warning,system_term,on_term_change,current_term=={term_id},exec_push_warning({guide_key})|exec_spawn_disaster({disaster_id}),节气灾害预警,"solar_term_config|weather_config|guide_script|event_trigger",1 ui hint,用于惊蛰虫害和霜降预警
evt_tpl_shop_progress_gate,shop_progress_gate,shop_system,on_shop_sales_reach,{metric_expr},exec_unlock_customer({customer_id})|exec_unlock_order_pool({order_pool_id}),店铺经营阶段门槛,"shop_customer|order_config|customer_state_flow|event_trigger",no cutscene,用于销售额和口碑门槛
evt_tpl_spirit_birth_intro,spirit_birth_intro,spirit_story,on_crop_harvest,first_harvest({crop_id}),exec_spawn_spirit({spirit_id})|exec_play_dialogue({dialogue_group_id})|exec_unlock_ui(ui_spirit),首次成精引导,"crop_config|spirit_base|dialogue_group|guide_script|event_trigger",1 short cutscene,用于每条精怪线的首只形态登场
evt_tpl_spirit_evolve_memory,spirit_evolve_memory,spirit_story,on_day_end,{memory_expr},exec_set_memory({memory_flag_id})|exec_play_spirit_event({spirit_event_id}),精怪成长事件,"spirit_event|spirit_memory_flag|spirit_mood_param",1 event scene,用于进化和陪伴节点
evt_tpl_dungeon_access_unlock,dungeon_access_unlock,combat_explore,on_item_collected,{unlock_expr},exec_unlock_area({area_id})|exec_show_world_ping({ping_id}),秘境开启,"dungeon_area|condition_group|event_trigger",1 hint + 1 map ping,用于药谷/遗迹/终巢入口开启
evt_tpl_final_support_merge,final_support_merge,chapter_finale,on_boss_defeat,boss_defeated({boss_id}) and quest_state({quest_id})==active,exec_play_dialogue({dialogue_group_id})|exec_apply_support_bundle({bundle_id}),终章支援回流,"dialogue_group|favor_reward|event_trigger|reward_pool",1 ensemble scene,用于八位 NPC 关系线回流主线
evt_tpl_relief_delivery,relief_delivery,world_event,on_day_start,world_state==drought and player_day>={day},exec_spawn_relief_order({order_id})|exec_push_bark_set({bark_group}),灾后/大旱救援,"order_config|npc_bark|shop_feedback|event_trigger",1 timed task,用于第四章高压经营内容
evt_tpl_banquet_resolution,banquet_resolution,ending,on_crop_harvest,item_obtained({final_crop_id}),exec_complete_quest({quest_id})|exec_play_dialogue({dialogue_group_id})|exec_unlock_sandbox({sandbox_flag}),结局庆典,"quest_base|dialogue_group|event_trigger|reward_pool",1 ending scene,用于首年终局与次年沙盒开启
