content_id,content_name,content_type,unlock_condition_group,core_loop_tag,chapter_phase,repeat_cycle,reward_group,retention_goal,note
year2_sandbox_001,洞天扩建与自由造景,sandbox_build,quest_main_0403_complete,build_decorate,year2_start,weekly,pool_reward_year2_build,长线建造目标,开放更大洞天区域与高级造景评分
year2_shop_001,名铺评级赛季,season_system,quest_main_0403_complete,shop_mastery,year2_start,monthly,pool_reward_year2_shop,经营长期追求,以月度评级推动店铺陈列与定价优化
year2_trade_001,跨界飞舟商路,trade_meta,quest_main_0403_complete,interrealm_trade,year2_mid,weekly,pool_reward_year2_trade,高价值订单驱动,开启跨界航线与稀有订单链
year2_relationship_001,同住后日谈与生活事件,relationship_meta,quest_main_0403_complete,cohab_life,year2_start,daily,pool_reward_year2_cohab,情感留存,高好感 NPC 进入同住与共同生活阶段
year2_spirit_001,三阶精怪共居生态,spirit_meta,chapter_3_complete,spirit_ecology,year2_start,daily,pool_reward_year2_spirit,精怪养成留存,精怪宿舍协同与高级生态岗位
year2_festival_001,二十四节气年轮挑战,festival_meta,quest_main_0403_complete,term_mastery,year2_start,term,pool_reward_year2_term,内容再消费,第二年强化节气挑战与节庆连锁收益
year2_dungeon_001,隐藏秘境轮换,explore_meta,quest_main_0403_complete,dungeon_rotation,year2_mid,biweekly,pool_reward_year2_dungeon,探索重复可玩性,水系秘境和守阵残脉轮换开启
year2_town_001,凡仙镇共建委托,town_meta,quest_main_0403_complete,town_rebuild,year2_mid,weekly,pool_reward_year2_town,社区成长反馈,通过公共工程持续改变镇貌与功能
year2_spirit_bond_001,精怪终身羁绊,spirit_bond,quest_main_0403_complete,spirit_bond,year2_start,daily,pool_reward_goal_bond_first,情感与养成留存,三阶精怪继续开放 10 级羁绊和记忆事件
year2_spirit_expedition_001,精怪远征小队,spirit_expedition,quest_main_0403_complete,spirit_expedition,year2_mid,weekly,pool_reward_exp_yearwheel,探索与经营留存,派遣精怪处理商路秘境和镇建委托
year2_ecology_combo_001,主题生态庭院,ecology_combo,quest_main_0403_complete,spirit_ecology,year2_start,weekly,pool_reward_goal_ecology,造景与经营留存,通过精怪建筑作物组合形成可评分庭院
year2_free_goal_001,后主线自由目标册,freeplay_goal,quest_main_0403_complete,freeplay_goal,year2_start,monthly,pool_reward_goal_trial_all,长期目标留存,把日周月年目标统一展示为通关后追求
