feedback_id,feedback_type,customer_segment,trigger_condition,bubble_text,result_text,recommended_action,priority,localization_key,note
scfd_001,need_hint,行商,enter_shop,想买点耐放的路上吃,,准备耐放和轻便商品,P1,shop_fb_need_trader_durable,进店泡泡
scfd_002,purchase_reason,行商,tag_match==durable|price_ok==true,,耐放就好远路最怕坏,保持耐放标签供给,P1,shop_fb_buy_trader_durable,购买原因
scfd_003,leave_reason,行商,item_size==large,,太占地方不适合赶路,改用轻便商品或换客群,P1,shop_fb_leave_trader_large,放弃原因
scfd_003a,need_hint,镇民,hot_tag==refreshing,想找清口凉菜,,备一点清口凉菜和新鲜小食,P1,shop_fb_need_villager_refresh,修渠后泡泡
scfd_003b,purchase_reason,镇民,tag_match==refreshing|price_ok==true,,这口清爽正好下饭还带渠水气,继续准备凉润灵食,P1,shop_fb_buy_villager_refresh,修渠后购买
scfd_004,purchase_reason,富户,quality>=4|tag_match==gift,,品相不错送客有面子,增加礼品包装,P1,shop_fb_buy_rich_gift,高价值顾客
scfd_005,leave_reason,富户,quality<=2,,品质还差一口气,提高原料或加工品质,P0,shop_fb_leave_rich_quality,品质不足
scfd_005a,need_hint,医修,hot_tag==clean_food,想寻清润净口的小食,,准备清净凉润食物,P1,shop_fb_need_healer_clean,修渠后泡泡
scfd_005b,purchase_reason,医修,tag_match==clean_food|tag_match==water_food,,清口凉润不压药气拿去配诊正合适,保留净口食与水系灵食,P1,shop_fb_buy_healer_clean,修渠后购买
scfd_005c,need_hint,匠师,hot_tag==cooling,想来点凉口补给,,准备清凉脆口的快食,P1,shop_fb_need_crafter_cooling,修渠后泡泡
scfd_005d,purchase_reason,匠师,tag_match==cooling|price_ok==true,,忙完火气大的活计就想来一口凉润的,保留凉口补给类食物,P1,shop_fb_buy_crafter_cooling,修渠后购买
scfd_006,diagnosis,all,price_leave_count>=3,,今天多位顾客有兴趣但觉得偏贵,降价或转向富户货架,P0,shop_diag_price_high,日终诊断
scfd_007,diagnosis,all,hot_tag_stockout_count>=2,,热卖标签商品断货影响成交,明天优先补货,P0,shop_diag_stock_shortage,日终诊断
scfd_008,diagnosis,all,seasonal_tag_missing==true,,今天想买应节商品的顾客不少,查看节气热销标签,P1,shop_diag_season_miss,日终诊断
scfd_009,season_summary,all,season_top_segment==trader,,本季最常来的客人是行商他们偏爱耐放和轻便商品,下季准备路途补给,P1,shop_season_trader_summary,赛季复盘
scfd_010,season_summary,all,spirit_hualing_convert>=5,,花铃精招呼的顾客中有多人完成购买,继续安排花铃精揽客,P1,shop_season_hualing_summary,精怪贡献
scfd_011,need_hint,镇民,hot_tag==refreshing,想找清口凉菜,,备几样清爽不腻的下饭灵食,P1,shop_fb_need_villager_refreshing,修渠后镇民泡泡
scfd_012,purchase_reason,镇民,tag_match==refreshing,,清口凉菜正好压一压忙活半天的燥气,继续准备清爽家常菜,P1,shop_fb_buy_villager_refreshing,修渠后镇民成交
scfd_013,need_hint,医修,hot_tag==refreshing,想寻清润不燥的净口小食,,备些清润净食和水系灵食,P1,shop_fb_need_healer_clean,修渠后医修泡泡
scfd_014,purchase_reason,医修,tag_match==refreshing|tag_match==clean_food|tag_match==water_food,,清口凉润，不会压药气，带回医馆正合适,多准备清润净食,P1,shop_fb_buy_healer_clean,修渠后医修成交
scfd_015,need_hint,匠师,hot_tag==refreshing,想吃点凉润利口的,,准备凉口补给和清爽灵食,P1,shop_fb_need_crafter_cooling,修渠后匠师泡泡
scfd_016,purchase_reason,匠师,tag_match==refreshing|tag_match==cooling,,渠水气一压火，干活回来这口正舒服,保留凉润小食供给,P1,shop_fb_buy_crafter_cooling,修渠后匠师成交
scfd_017,need_hint,水航客,hot_tag==water_food,想找莲泽熟路水鲜,水航客会先看能不能带回莲泽的清口水鲜和水系饮品。,保持清波鱼脍、灵池三鲜羹和荷露糖水不断档，水航客更容易留下。,P1,shop_fb_need_waterway_lianze,诊断-水航客水鲜需求
scfd_018,purchase_reason,水航客,tag_match==water_food|tag_match==drink,,这口有莲泽熟路的回单味，带回去有人认得这家旧铺。,继续沿水航长单补水鲜和饮品，外路客会把口碑带回莲泽。,P1,shop_fb_buy_waterway_lianze,诊断-水航客购买
