event_id,quest_id,trigger_type,trigger_param,condition_group,execute_group,repeatable,priority,note
event_side_0101_start,quest_side_0101_xubo_bridge_old,on_talk,npc_xubo,npc_xubo_favor_2,exec_start_side_0101,false,80,许伯二心后开启桥下旧事
event_side_0102_start,quest_side_0102_zhang_repair,on_trade_complete,npc_zhang_tieshan,always_true,exec_start_side_0102,false,70,首次铁匠交易后开启
event_side_0103_start,quest_side_0103_baizhi_clinic,on_talk,npc_baizhi,always_true,exec_start_side_0103,false,70,首次医馆对话后开启
event_side_0104_start,quest_side_0104_term_jingzhe,on_term_change,term_jingzhe,quest_main_0102_active,exec_start_side_0104,false,85,惊蛰期间虫害支线
event_side_0201_start,quest_side_0201_hu_price_test,on_npc_arrive,npc_hu_sihai,quest_main_0201_step_2_done,exec_start_side_0201,false,75,胡四海到镇后开启定价测试
event_side_0202_start,quest_side_0202_atan_workbench,on_talk,npc_atan,npc_atan_favor_4,exec_start_side_0202,false,72,阿檀棚架支线
event_side_0203_start,quest_side_0203_baizhi_patient,on_quest_accept,quest_main_0202_baizhi_zhiqiu,quest_main_0202_active,exec_start_side_0203,false,78,白芷主线中段分流
event_side_0204_start,quest_side_0204_lu_market_story,on_talk,npc_lu_sanxiao,npc_lu_sanxiao_favor_2,exec_start_side_0204,false,70,陆三笑市闻支线
event_side_0205_start,quest_side_0205_qinghe_pond,on_talk,npc_qinghe,npc_qinghe_favor_1,exec_start_side_0205,false,68,青禾一心后开启池塘线
event_side_0301_start,quest_side_0301_shen_training,on_talk,npc_shen_gudeng,npc_shen_gudeng_favor_4,exec_start_side_0301,false,72,沈孤灯训练支线
event_side_0302_start,quest_side_0302_faction_sample,on_shop_reputation_reach,reputation_300,chapter_2_or_more,exec_start_side_0302,false,76,门派样品单
event_side_0303_start,quest_side_0303_qinghe_canal,on_talk,npc_qinghe,npc_qinghe_favor_2,exec_start_side_0303,false,73,旧河道修复支线
event_side_0304_start,quest_side_0304_atan_spirit_room,on_build_complete,build_spirit_manor,quest_main_0301_active,exec_start_side_0304,false,71,百怪大院后续宿舍支线
event_side_0305_start,quest_side_0305_zhang_masterwork,on_talk,npc_zhang_tieshan,npc_zhang_tieshan_favor_3,exec_start_side_0305,false,74,风炉升级支线
event_side_0401_start,quest_side_0401_relief_supply,on_world_state,drought,chapter_3_complete,exec_start_side_0401,false,88,大旱救援支线
event_side_0402_start,quest_side_0402_hu_last_route,on_talk,npc_hu_sihai,npc_hu_sihai_favor_5,exec_start_side_0402,false,80,终章外路补给
event_side_0403_start,quest_side_0403_baizhi_night,on_talk,npc_baizhi,npc_baizhi_favor_4,exec_start_side_0403,false,79,医馆守夜支线
event_side_0404_start,quest_side_0404_lu_steles,on_talk,npc_lu_sanxiao,npc_lu_sanxiao_favor_4,exec_start_side_0404,false,78,残碑收束支线
event_side_0405_start,quest_side_0405_spirit_shui,on_build_complete,build_final_water_channel,npc_qinghe_favor_5,exec_start_side_0405,false,82,终章引泉支线
event_side_0406_start,quest_side_0406_spirit_bucao,on_craft_complete,item_final_brocade_roll,npc_atan_favor_5,exec_start_side_0406,false,77,大宴布卷支线
