pace_id,time_min,phase,player_action,instant_feedback,delayed_feedback,system_unlock,success_metric,owner,note
erp_001,3,洞天初入,清理第一处杂草,灵光粒子和材料掉落,洞天灵息加1,,玩家知道清理会改变环境,design,第一处灵纹必须可见
erp_002,10,第一次播种,播下萝卜种,种子入土动画,次日成长,,玩家理解种植循环,design,不放长教学
erp_003,18,成精预告,靠近抖动萝卜苗,问号气泡和短音效,成精预告标记,,玩家注意到作物异常,narrative,核心卖点预热
erp_004,30,第一只精怪,萝卜精入队,入队演出和伙伴栏开放,精怪协助浇水,spirit_panel,30分钟内看到核心卖点,system,Demo留存关键
erp_005,60,第一次加工,制作萝卜干,加工动画和香气特效,第一张订单出现,processing,玩家形成种植到加工链,system,订单收益高于裸卖
erp_006,95,旧铺试营业,商品上架,顾客进店和想法泡泡,热卖标签预告,shop_open,玩家理解顾客有需求,ui,只开放基础反馈
erp_007,110,第一次成交,顾客购买商品,购买动画和短评,店铺日结解锁,shop_summary,玩家知道为什么卖出,ui,强化经营可读性
erp_008,135,精怪互动,摸头或送小礼,回应动作和羁绊弹字,羁绊经验增加,bond,玩家把精怪当伙伴,narrative,情感反馈
erp_009,155,第一次修复,修复灵渠,水流恢复和地块扩张,水系作物解锁,repair,洞天成长可见,level,地图变化必须明显
erp_010,180,日终总结,结束当天,收入成长解锁汇总,明日目标推荐,day_summary,玩家想继续下一天,ui,Demo收尾钩子
