condition_group_id,expression,usage_hint,priority,note
always_true,true,global_default,0,always valid
weed_count_6,count(item_weed)>=6,quest_step_main_0001,100,prologue cleanup
first_bailuobo_harvest,first_harvest(crop_lingqi_bailuobo),event_main_0003,100,first crop harvest cutscene
day_2_or_more,player_day>=2,event_main_0004,90,town unlock
has_first_harvest,"has_item(item_crop_lingqi_bailuobo,1)",event_main_0005,95,first spirit birth prerequisite
first_bailuobo_tang_crafted,"has_item(item_food_bailuobo_tang,1)",order_demo_0001,96,first processed food unlocks Xubo demo order
first_lingqin_dish_crafted,flag(first_lingqin_dish_crafted)==true,order_demo_0002,96,first canal dish unlocks Qinghe demo order
qingbo_water_fresh_signature_line,flag(qingbo_water_fresh_signature_line)==true,recipe_lingchi_sanxian_geng,82,Qingbo water-fresh signature unlocks the second pond menu dish
lingchi_water_fresh_regulars,flag(lingchi_water_fresh_regulars)==true,order_qinghe_water_fresh_return_0001,84,Lingchi water-fresh regulars unlock Qinghe's return order
qinghe_water_fresh_return_order_done,flag(qinghe_water_fresh_return_order_done)==true,year2_qinghe_waterway_ready,83,Qinghe return order finishes the water-fresh bridge toward year-two waterway orders
year2_qinghe_waterway_ready,"all_of(npc_qinghe_favor_5,qinghe_water_fresh_return_order_done)",order_year2_water_0001,78,Qinghe year-two waterway order requires favor and the water-fresh return-order payoff
qinghe_lotus_basin_route_ready,"all_of(npc_qinghe_favor_5,qinghe_year2_waterway_order_done)",route_lotus_basin_03,76,Lianze waterway trade route opens after Qinghe's year-two waterway order is delivered
qinghe_lotus_basin_trade_return,flag(qinghe_lotus_basin_trade_return)==true,dialogue_qinghe_lotus_basin_return,74,Qinghe comments when the Lianze waterway route returns for the first time
qinghe_lotus_basin_followup_order_ready,flag(qinghe_lotus_basin_trade_return)==true,order_year2_water_0002,73,Lianze familiar-route return unlocks Qinghe's follow-up waterway order
quest_main_0101_active,quest_state(quest_main_0101_lingjing_huisheng)==active,event_main_0102,100,well repair line
quest_main_0102_active,quest_state(quest_main_0102_tonghuo_chuming)==active,event_main_0103,100,jingzhe pest line
quest_main_0102_step_1_done,quest_step_done(step_main_0102_01),event_main_0104,100,copper tool unlock
quest_main_0103_ready_submit,quest_state(quest_main_0103_duanqiao_jiumu)==ready_submit,event_main_0106,100,bridge completion
quest_main_0201_active,quest_state(quest_main_0201_jiupu_kaimen)==active,event_main_0202,100,shop tutorial
quest_main_0201_step_2_done,quest_step_done(step_main_0201_02),event_main_0203,100,hu sihai arrival
quest_main_0202_active,quest_state(quest_main_0202_baizhi_zhiqiu)==active,event_main_0205,100,baizhi herb request
chapter_3_entry_ready,flag(baizhi_chapter_2_finish)==true,event_main_0301,100,spirit manor chapter entry
quest_main_0301_active,quest_state(quest_main_0301_baiguai_youyuan)==active,event_main_0303,100,spirit manor build
